"SampleID.New","MouseSex","Group","TumorGrowth1a","Donor","Response"
"M12","female","A","Slow","P28","Responder"
"M14","female","A","Slow","P28","Responder"
"M15","female","A","Slow","P28","Responder"
"M17","female","A","Slow","P28","Responder"
"M18","female","A","Slow","P28","Responder"
"M10","male","A","Slow","P28","Responder"
"M13","male","A","Slow","P28","Responder"
"M11","male","A","Slow","P28","Responder"
"M16","male","A","Slow","P28","Responder"
"M19","male","A","Slow","P28","Responder"
"M21","female","B","Fast","P06","NonResponder"
"M22","female","B","Fast","P06","NonResponder"
"M23","female","B","Fast","P06","NonResponder"
"M24","female","B","Fast","P06","NonResponder"
"M25","female","B","Fast","P06","NonResponder"
"M20","male","B","Fast","P06","NonResponder"
"M26","male","B","Fast","P06","NonResponder"
"M27","female","B","Fast","P06","NonResponder"
"M28","male","B","Fast","P06","NonResponder"
"M29","male","B","Fast","P06","NonResponder"
"M31","female","C","Fast","P34","Responder"
"M33","female","C","Fast","P34","Responder"
"M34","female","C","Fast","P34","Responder"
"M36","female","C","Fast","P34","Responder"
"M39","female","C","Fast","P34","Responder"
"M30","male","C","Fast","P34","Responder"
"M32","male","C","Fast","P34","Responder"
"M35","male","C","Fast","P34","Responder"
"M37","male","C","Fast","P34","Responder"
"M38","male","C","Fast","P34","Responder"
"M40","female","D","Slow","P21","NonResponder"
"M41","female","D","Slow","P21","NonResponder"
"M43","female","D","Slow","P21","NonResponder"
"M45","female","D","Slow","P21","NonResponder"
"M48","female","D","Slow","P21","NonResponder"
"M42","male","D","Slow","P21","NonResponder"
"M44","male","D","Slow","P21","NonResponder"
"M46","male","D","Slow","P21","NonResponder"
"M47","male","D","Slow","P21","NonResponder"
"M01","female","TAC.SPF",NA,NA,NA
"M02","female","TAC.SPF",NA,NA,NA
"M03","female","TAC.SPF",NA,NA,NA
"M04","female","TAC.SPF",NA,NA,NA
"M05","female","TAC.SPF",NA,NA,NA
"M09","female","TAC.SPF",NA,NA,NA
"M06","female","TAC.SPF",NA,NA,NA
"M07","female","TAC.SPF",NA,NA,NA
"M08","female","TAC.SPF",NA,NA,NA
"M49","F","A2","Slow","P28","Responder"
"M52","F","A2","Slow","P28","Responder"
"M53","F","A2","Slow","P28","Responder"
"M55","F","A2","Slow","P28","Responder"
"M57","F","A2","Slow","P28","Responder"
"M50","M","A2","Slow","P28","Responder"
"M51","M","A2","Slow","P28","Responder"
"M54","M","A2","Slow","P28","Responder"
"M56","M","A2","Slow","P28","Responder"
"M58","M","A2","Slow","P28","Responder"
"M59","M","A2","Slow","P28","Responder"
"M61","F","B2","Fast","P06","NonResponder"
"M64","F","B2","Fast","P06","NonResponder"
"M65","F","B2","Fast","P06","NonResponder"
"M68","F","B2","Fast","P06","NonResponder"
"M69","F","B2","Fast","P06","NonResponder"
"M60","M","B2","Fast","P06","NonResponder"
"M62","M","B2","Fast","P06","NonResponder"
"M63","M","B2","Fast","P06","NonResponder"
"M66","M","B2","Fast","P06","NonResponder"
"M67","M","B2","Fast","P06","NonResponder"
"M76","F","E","Slow","P09","Responder"
"M79","F","E","Slow","P09","Responder"
"M80","F","E","Slow","P09","Responder"
"M78","F","E","Slow","P09","Responder"
"M77","F","E","Slow","P09","Responder"
"M81","F","E","Slow","P09","Responder"
"M84","F","E","Slow","P09","Responder"
"M85","F","E","Slow","P09","Responder"
"M82","F","E","Slow","P09","Responder"
"M83","F","E","Slow","P09","Responder"
"M86","F","E","Slow","P09","Responder"
"M88","F","F","Fast","P11","NonResponder"
"M87","F","F","Fast","P11","NonResponder"
"M90","F","F","Fast","P11","NonResponder"
"M89","F","F","Fast","P11","NonResponder"
"M91","F","F","Fast","P11","NonResponder"
"M92","F","F","Fast","P11","NonResponder"
"M94","F","F","Fast","P11","NonResponder"
"M95","F","F","Fast","P11","NonResponder"
"M96","F","F","Fast","P11","NonResponder"
"M93","F","F","Fast","P11","NonResponder"
"M97","F","F","Fast","P11","NonResponder"
